Family,Genus,Species,Common Name,Newsletter
Sinopteridaceae,Cheilanthes,distans,Bristly Cloak Fern,
Sinopteridaceae,Cheilanthes,sieberi,Resurrection Fern,
Sinopteridaceae,Cheilanthes,austrotenuifolia,Rock Fern,
Chenopodiaceae,Chenopodium,pumilio,Small Crumbweed,
Chenopodiaceae,Chenopodium*,album,Fat Hen,
Poaceae,Chloris,truncata,Windmill Grass,
Asteraceae,Chondrilla*,juncea,Skeleton Weed,
Asteraceae,Chrysocephalum,apiculatum,Yellow Buttons,
Asteraceae,Chrysocephalum,semipapposum,Clustered Everlasting,
Asteraceae,Cirsium*,vulgare,Spear Thistle,
Ranunculaceae,Clematis,microphylla v. leptophylla,Small-leafed Clematis,Oct-14
Apiaceae,Conium*,maculatum,Slender Celery,
Convolvulaceae,Convolvulus,angustissimus,Native Bindweed,
Asteraceae,Conyza*,albida,Tall Fleabane,
Asteraceae,Conyza*,bonariensis,Flax-leaf Fleabane,Jun-12
Rosaceae,Cotoneaster*,glaucophylla,Cotoneaster,
Asteraceae,Cotula,australis,Common Cotula,Aug-09
Asteraceae,Craspedia,sp,Billy Buttons,
Crassulaceae,Crassula,sieberiana,Australian Stonecrop,
Rosaceae,Crataegus*,monogyna,Hawthorn,Mar-14
Asteraceae,Crepis*,capillaris,Smooth Hawksbeard,
Rhamnaceae,Cryptandra,amara var. amara,Pretty Cryptandra,
Cucurbitaceae,Cucumis*,myriocarpus,Paddymelon,
Cyatheaceae,Cyathea,australis,Rough Tree-fern,
Apiaceae,Cyclospermum*,leptophyllum,Slender Celery,Apr-15
Asteraceae,Cymbonotus,lawsonianus,Bear's Ear,Aug-10
Poaceae,Cymbopogon,refractus,Barbed Wire Grass,
Poaceae,Cynodon *,dactylon,Couch Grass,
Boraginaceae,Cynoglossum,australe,Australian Hound's Tooth,
Boraginaceae,Cynoglossum,suaveolens,Sweet Hound's Tooth,
Cyperaceae,Cyperus*,eragrostis,Umbrella Sedge,
Cyperaceae,Cyperus*,tenellus,,
Poaceae,Dactylis*,glomerata,Cocksfoot,
Solanaceae,Datura*,stramonium,Common Thornapple,
Apiaceae,Daucus,glochidiatus,Native Carrot,
Fabaceae,Daviesia,mimosoides,Leafy Bitter-pea,
Fabaceae,Desmodium,varians,Slender Tick-trefoil,
Phormiaceae,Dianella,longifolia,Blue Flax-lily,
Phormiaceae,Dianella,revoluta,Blue Flax-lily,
Poaceae,Dichanthium,sericeum,Queensland Blue Grass,Apr-10
Poaceae,Dichelachne,micrantha,Plume Grass,
Poaceae,Dichelachne,rara,Plume Grass,
Convolvulaceae,Dichondra,repens,Kidney Weed,
Anthericaceae,Dichopogon,fimbriatus,Nodding Chocolate Lily,Jan-09
Poaceae,Digitaria,brownii,Cotton Panic Grass,Mar-10 Jun-14 May-15
Poaceae,Digitaria*,sanguinalis,,Mar-10
Poaceae,Dittrichia*,graveolens,Stinkwort,
Orchidaceae,Diuris,dendrobiodes,,
Orchidaceae,Diuris,sulphurea,"Tiger, Hornet Orchid",
Sapindaceae,Dodonaea,viscosa ssp. angustissima,Sticky Hop Bush,Nov-09
Sapindaceae,Dodonaea,viscosa ssp. spatulata,Sticky Hop Bush,Nov-09
Poaceae,Echinochloa*,crus-galli,Barnyard Grass,
Boraginaceae,Echium*,plantagineum,Paterson's Curse,
Boraginaceae,Echium*,vulgare,Viper's Bugloss,
Poaceae,Ehrharta*,erecta,Panic Veldtgrass,
Chenopodiaceae,Einadia,sp,,
Chenopodiaceae,Einadia,nutans subsp. nutans,Climbing Saltbush,Jul-14
Cyperaceae,Eleocharis,acuta,Spike Rush,Jan-16
Poaceae,Eleusine*,tristachya,Goose Grass,
Poaceae,Elymus,scaber,Wheat Grass,
Poaceae,Elytrigia*,repens,English Couch,
Poaceae,Enneapogon,nigricans,Niggerhead,May-09
Onagraceae,Epilobium,billardierianum,Hairy Willow Herb,
Poaceae,Eragrostis,brownii,Brown's Lovegrass,
Poaceae,Eragrostis,parviflora,Weeping Lovegrass,Apr-10
Poaceae,Eragrostis,trachycarpa,Rough Grain Lovegrass,
Poaceae,Eragrostis*,cilianensis,Stinkgrass,
Poaceae,Eragrostis*,curvula,African Lovegrass,Feb-09
Poaceae,Eragrostis*,pilosa,Soft Lovegrass,
Asteraceae,Erigeron*,karvinskianus,"Bony-tip Fleabane, Seaside Daisy",Aug-14
Geraniaceae,Erodium,crinitum,Blue Crowfoot,
Geraniaceae,Erodium*,botrys,Long Storksbill,
Geraniaceae,Erodium*,cicutarium,Common Crowfoot,
Geraniaceae,Erodium*,moschatum,Musky Crowfoot,
Apiaceae,Eryngium,ovinum,Blue Devil,
Myrtaceae,Eucalyptus,blakelyi,Blakely's Red Gum,
Myrtaceae,Eucalyptus,bridgesiana,Apple Box,
Myrtaceae,Eucalyptus,dives,Peppermint,
Myrtaceae,Eucalyptus,goniocalyx,Bundy,
Myrtaceae,Eucalyptus,macrorhyncha,Red Stringybark,
Myrtaceae,Eucalyptus,melliodora,Yellow Box,
Myrtaceae,Eucalyptus,nortonii,Mealy Bundy,
Myrtaceae,Eucalyptus,pauciflora ssp pauciflora,Snow Gum,
Myrtaceae,Eucalyptus,polyanthemos,Red Box,
Myrtaceae,Eucalyptus,rossii,Scribbly Gum,
Myrtaceae,Eucalyptus*,botryoides,Southern Mahogany,
Myrtaceae,Eucalyptus*,cinerea,Argyle Apple,
Myrtaceae,Eucalyptus*,crenulata,Vic. Silver Gum,
Myrtaceae,Eucalyptus*,globulus subsp.bicostata,Southern Blue Gum,
Myrtaceae,Eucalyptus*,leucoxylon,Yellow Gum,
Myrtaceae,Eucalyptus*,mannifera,Brittle Gum,
Myrtaceae,Eucalyptus*,sideroxylon,Red Ironbark,Nov-11
Asteraceae,Euchiton,sphaericus,Cudweed,
Euphorbiaceae,Euphorbia*,depauperata,Spurge,
Santalaceae,Exocarpos,cupressiformis,Native Cherry,
Poaceae,Festuca*,elatior,Fescue,
Apiaceae,Foeniculum*,vulgare,Fennel,
Oleaceae,Fraxinus*,sp,Ash,
Rubiaceae,Galium,gaudichaudii,Rough Bedstraw,
Rubiaceae,Galium*,aparine,"Cleavers, Goose Grass, Cachweed, Stickyweed",Nov-15
Asteraceae,Gamochaeta*,calviceps,Cudweed,Dec-10
Asteraceae,Gazania*,sp,,
Geraniaceae,Geranium,solanderi,Native Geranium,
Fabaceae,Glycine,clandestina,Twining Glycine,
Fabaceae,Glycine,microphylla,Small-leaf Glycine,
Fabaceae,Glycine,tabacina,Variable Glycine,
Haloragaceae,Gonocarpus,tetragynus,Gonocarpus,
Goodeniaceae,Goodenia,hederacea,Forest Goodenia,
Goodeniaceae,Goodenia,heterophylla,Goodenia,
Proteaceae,Grevillea*,juniperina,Grevillea,
Proteaceae,Grevillea*,sp,Grevillea,
Haloragaceae,Haloragis,heterophylla,Variable Raspwort,
Fabaceae,Hardenbergia,violacea,False Sarsaparilla,
Asteraceae,Helianthus *,annuus,Common Sunflower,
Dilleniaceae,Hibbertia,obtusifolia,Hoary Guinea-flower,
Dilleniaceae,Hibbertia,riparia,Erect Guinea-flower,
Brassicaceae,Hirschfeldia*,incana,Buchan Weed,
Poaceae,Holcus *,lanatus,Yorkshire Fog,
Poaceae,Hordeum*,leporinum,Barley Grass,
Poaceae,Hordeum*,vulgare,Barley,
Fabaceae,Hovea,heterophylla,Hovea,
Fabaceae,Hovea,linearis,Hovea,
Apiaceae,Hydrocotyle,laxiflora,Stinking Pennywort,
Clusiaceae,Hypericum,gramineum,Small St.John's Wort,
Clusiaceae,Hypericum *,calycinum,Rose of Sharon,
Clusiaceae,Hypericum*,perforatum,St John's Wort,
Asteraceae,Hypochaeris*,glabra,Smooth Catsear,Oct-09
Asteraceae,Hypochaeris*,radicata,Flat weed,
Fabaceae,Indigofera,adesmiifolia,Tick Indigo,
Fabaceae,Indigofera,australis,Australian indigo,
Lobeliaceae,Isotoma,fluviatilis,Swamp Isotome,
Poaceae,Joycea,pallida,Redanther Wallaby Grass,
Juncaceae,Juncus,australis,,
Juncaceae,Juncus,bufonius,Toad Rush,
Juncaceae,Juncus,homalocaulis,,
Juncaceae,Juncus,sarophorus,,
Juncaceae,Juncus,subsecundus,,
Juncaceae,Juncus,usitatus,,
Juncaceae,Juncus,vaginatus,Rush,
Cupressaceae,Juniperus*,sp,Juniper,
Sapindaceae,Koelreuteria*,paniculata,Golden Rain Tree,
Poaceae,Lachnagrostis,filiformis,Common Blown Grass,
Asteraceae,Lactuca*,serriola,Prickly Lettuce,
Brassicaceae,Lepidium*,africanum,Peppercress,
Cyperaceae,Lepidosperma,laterale,Variable Saw Sedge,
Asteraceae,Leptorhynchos,squamatus,Scaly Buttons,
Oleaceae,Ligustrum*,sinense,Small-leaved Privet,May-12
Scrophulariaceae,Linaria*,arvensis,,
Scrophulariaceae,Linaria*,pelisseriana,Pelisser's Toadflax,
Linaceae,Linum,marginale,Native Flax,
Linaceae,Linum*,usitatissimum,Linseed,
Epacridaceae,Lissanthe,strigosa,Peach Heath,
Poaceae,Lolium*,rigidum,Wimmera Rye Grass,
Lomandraceae,Lomandra,bracteata,Mat-rush,
Lomandraceae,Lomandra,filiformis ssp. coriacea,Wattle Mat-rush,
Lomandraceae,Lomandra,filiformis ssp. filiformis,Wattle Mat-rush,
Lomandraceae,Lomandra,longifolia,Spiny-headed Mat-rush,
Lomandraceae,Lomandra,multiflora,Many-flowered Mat-rush,
Caprifoliaceae,Lonicera*,japonica,Honeysuckle,
Juncaceae,Luzula,densiflora,Woodrush,Oct-13
Caryophyllaceae,Lychnis*,coronaria,Dusty Miller,
Solanaceae,Lycium*,ferocissimum,African Boxthorn,
Lythraceae,Lythrum,hyssopifolia,Hyssop Loosestrife,
Berberidaceae,Mahonia *,aquifolium,Mahonia,
Malvaceae,Malva *,neglecta,Dwarf Mallow,
Malvaceae,Malva*,parviflora,Small-flowered Mallow,
Lamiaceae,Marrubium*,vulgare,Horehound,
Fabaceae,Medicago*,polymorpha,,
Fabaceae,Medicago*,sativa,Lucerne,
Epacridaceae,Melichrus,urceolatus,Urn Heath,
Lamiaceae,Mentha,diemenica,Slender Mint,
Lamiaceae,Mentha,laxiflora,Forest Mint,Jan-13
Poaceae,Microlaena,stipoides,Weeping Grass,
Orchidaceae,Microtis,unifolia,Common Onion Orchid,Jan-11
Malvaceae,Modiola*,caroliniana,Carolina Mallow,
Caryophyllaceae,Moenchia*,erecta,Erect Chickweed,
Loranthaceae,Muellerina,eucalyptoides,Mistletoe,Oct-11 Jun-15
Berberidaceae,Nandina*,domestica,Chinese Sacred Bamboo,
Poaceae,Nassella*,neesiana,Chilean Needle Grass,Dec-08
Poaceae,Nassella*,trichotoma,Serrated tussock,Jul-11
Onagraceae,Oenothera*,stricta,Evening Primrose,
Asteraceae,Onopordum*,acanthium,Scotch Thistle,
Rubiaceae,Opercularia,hispida,Hairy Stinkweed,
Cactaceae,Opuntia*,stricta,Prickly Pear,Aug-15
Lamiaceae,Origanum*,vulgare,Oregano,
Scrophulariaceae,Orobanche*,minor,Broomrape,
Hydrocharitaceae,Ottelia,ovalifolia,Swamp Lily,Mar-12
Oxalidaceae,Oxalis,perennans,,
Oxalidaceae,Oxalis,radicosa,,
Oxalidaceae,Oxalis*,corniculata,Yellow Wood-sorrel,
Oxalidaceae,Oxalis*,thompsoniae,,
Asclepiadaceae,Oxypetalum*,coeruleum,Tweedia,Jan-11
Poaceae,Panicum,effusum,Native Millet,
Papaveraceae,Papaver*,dubium,Longhead Poppy,
Papaveraceae,Papaver*,somniferum,Opium Poppy,
Scrophulariaceae,Parentucellia*,latifolia,Red Bartsia,
Caryophyllaceae,Paronychia*,brasiliana,Chilean Whitlow,
Poaceae,Paspalidium*,distans,Five Minute Grass,
Poaceae,Paspalum,distichum,Water Couch,Feb-12
Poaceae,Paspalum*,dilatatum,Paspalum,
Geraniaceae,Pelargonium,australe,Native Storkbill,Dec-10
Sinopteridaceae,Pellaea,falcata,Sickle Fern,
Polygonaceae,Persicaria,lapathifolia,Pale Knotweed,Apr-09
Polygonaceae,Persicaria,prostrata,Creeping Knotweed,Apr-09
Polygonaceae,Persicaria*,hydropiper,Water Pepper,
Caryophyllaceae,Petrorhagia*,nanteuilii,Proliferous Pink,
Poaceae,Phalaris*,aquatica,Phalaris,
Rubiaceae,Philotheca *,myoporoides,Long-leaf Flax Lily,
Verbenaceae,Phyla*,nodiflora,Lippia,
Thymelaeaceae,Pimelea,curviflora,Curved Rice flower,
Thymelaeaceae,Pimelea,linifolia,Slender Rice Flower,
Pinaceae,Pinus*,radiata,Monterey Pine,
Anacardiaceae,Pistacia*,sp,Pistachio,
Plantaginaceae,Plantago,varia,Variable Plantain,
Plantaginaceae,Plantago*,lanceolata,Plantain,Aug-12
Aspleniaceae,Pleurosorus,rutifolius,Blanket Fern,
Poaceae,Poa,labillardieri,Tussock,Nov-08
Poaceae,Poa,sieberiana,Fine-leaf Tussock Grass,Nov-08
Poaceae,Poa *,bulbosa,Bulbous Poa,Nov-08
Polygonaceae,Polygonum*,aviculare,Wire Weed,Feb-13
Rhamnaceae,Pomaderris,angustifolia,,
Euphorbiaceae,Poranthera,microphylla,Small Poranthera,
Portulacaceae,Portulaca,oleracea,Pigweed,
Rosaceae,Prunus *,sp,,
Asteraceae,Pseudognaphalium,luteoalbum,Jersey Cudweed,
Dennstaedtiaceae,Pteridium,esculentum,Bracken,Jun-11
Poaceae,Puccinellia,sp.,,
Fabaceae,Pultenaea,procumbens,Bush Pea,Nov-12
Rosaceae,Pyracantha*,angustifolia,Orange Firethorn,
Rosaceae,Pyrus*,sp,Pear,
Ranunculaceae,Ranunculus,pumilio,,
Ranunculaceae,Ranunculus,sceleratus,Celery Buttercup,Aug-13
Iridaceae,Romulea*,rosea,Onion Grass,
Rosaceae,Rosa*,rubiginosa,Sweet Briar,
Lamiaceae,Rosmarinus*,officinalis,Rosemary,
Rosaceae,Rubus,parvifolius,Wild Rasberry,
Rosaceae,Rubus*,fruticosus,Blackberry,
Polygonaceae,Rumex,brownii,Swamp Dock,
Polygonaceae,Rumex*,crispus,Curled Dock,
Lamiaceae,Salvia*,verbenaca,Wild Sage,
Rosaceae,Sanguisorba*,minor,Sheep's Burnet,
Goodeniaceae,Scaevola,aemula,Fairy Fanflower,
Cyperaceae,Schoenus,apogon,Common Bog-rush,
Poaceae,Secale*,sp,Cereal Rye,
Asteraceae,Senecio,hispidulus,Hill Fireweed,
Asteraceae,Senecio,quadridentatus,Cotton Fireweed,
Poaceae,Setaria*,gracilis,Slender Pigeon Grass,
Poaceae,Setaria*,italica,Foxtail Millet,
Poaceae,Setaria*,verticillata,Whorled Pigeon Grass,
Caryophyllaceae,Silene*,gallica,French Catchfly,Nov-10
Asteraceae,Silybum *,marianum,Variegated Thistle,
Brassicaceae,Sisymbrium*,orientale,Indian Hedge Mustard,
Solanaceae,Solanum,cinereum,Narrawa Burr,Jun-10 Dec-15
Solanaceae,Solanum,linearifolium,Mountain Kangaroo Apple,
Solanaceae,Solanum*,lycopersicon,Tomato,
Solanaceae,Solanum*,nigrum,Black-berry Nightshade,
Solanaceae,Solanum*,pseudocapsicum,Jerusalem Cherry,
Solanaceae,Solanum*,triflorum,Three-flowered Nightshade,
Asteraceae,Solenogyne,dominii,,
Asteraceae,Sonchus*,asper,Prickly Sowthistle,
Asteraceae,Sonchus*,oleraceus,Common Sowthistle,
Rubiaceae,Sorbus*,aucuparia,Rowan Tree,
Rubiaceae,Sorbus*,domestica,Service Tree,May-13
Poaceae,Sorghum,leiocladum,Wild Sorghum,
Poaceae,Sorghum*,sp,,
Caryophyllaceae,Spergularia*,rubra,Sandspurry,
Poaceae,Sporobolus,elongatus,Slender Rat's Tail Grass,
Poaceae,Sporobolus,creber,Slender Rat's Tail Grass,
Stackhousiaceae,Stackhousia,monogyna,Creamy Candles,Septeber 2009
Caryophyllaceae,Stellaria,pungens,Prickly Starwort,
Asteraceae,Tanacetum*,vulgare,Tansy,
Asteraceae,Taraxacum*,officinale,Dandelion,
Poaceae,Themeda,triandra,Kangaroo Grass,
Anthericaceae,Thysanotus,tuberosus,Common Fringed Lily,
Asteraceae,Tolpis*,barbata,,
Asteraceae,Tragopogon*,dubius,Goatsbeard,Feb-11
Asteraceae,Tragopogon*,porrifolius,Salsify,
Zygophyllaceae,Tribulus*,terrestris,Caltrop,
Anthericaceae,Tricoryne,elatior,Yellow Rush Lily,
Fabaceae,Trifolium*,angustifolium,Narrow-leaf Clover,
Fabaceae,Trifolium*,arvense,Rabbit's Foot Clover,
Fabaceae,Trifolium*,dubuim,Yellow Suckling Clover,
Fabaceae,Trifolium*,campestre,Hop Clover,
Fabaceae,Trifolium*,glomeratum,Clustered Clover,
Fabaceae,Trifolium*,repens,White Clover,
Fabaceae,Trifolium*,subterraneum,Subterranean Clover,
Asteraceae,Triptilodiscus,pygmaeus,Common Sunray,
Typhaceae,Typha,orientalis,Broadleafed Cumbungi,Jul-13
Ulmaceae,Ulmus*,parvifolia,Chinese Elm,
Ulmaceae,Urtica*,urens,Small Nettle,
Scrophulariaceae,Verbascum*,thapsus,Aaron's Rod,
Scrophulariaceae,Verbascum*,virgatum,Twiggy Mullein,
Verbenaceae,Verbena *,bonariensis,Purpletop,Apr-13
Scrophulariaceae,Veronica *,anagallis-aquatica,Blue Water-Speedwell,
Adoxaceae,Viburnum,tinus,Laurustinus,
Caprifoliaceae,Viburnum*,sp,Viburnum,
Fabaceae,Vicia*,disperma,Vetch,
Apocynaceae,Vinca*,major,Periwinkle,
Violaceae,Viola*,odorata,Sweet Violet,
Vitaceae,Vitis*,sp,Grape,
Asteraceae,Vittadinia,cuneata forma cuneata,Fuzz Weed,
Asteraceae,Vittadinia,cuneata forma minor,Fuzz Weed,
Asteraceae,Vittadinia,gracilis,Woolly New Holland Daisy,
Asteraceae,Vittadinia,muelleri,,
Poaceae,Vulpia*,bromoides,Rat's Tail Fescue,
Poaceae,Vulpia*,muralis,,
Campanulaceae,Wahlenberbia,luteola,,
Campanulaceae,Wahlenbergia,ceracea,Waxy Bluebell,
Campanulaceae,Wahlenbergia,communis,Tufted Bluebell,May-10
Campanulaceae,Wahlenbergia,gracilis,Australian Bluebell,May-10
Campanulaceae,Wahlenbergia,stricta,Tall Bluebell,
Colchicaceae,Wurmbea,dioica,Early Nancy,Oct-10
Asteraceae,Xanthium*,spinosum,Bathurst Burr,Jun-09 May-11 Dec-11
Asteraceae,Xanthium*,occidentale,"Noogoora Burr, Cockle Burr",Aug-11
Asteraceae,Xerochrysum,viscosum,Sticky Everlasting,
{Dryopteridaceae},{Polystichum},{proliferum},Mother Shield Fern,Sep-10
